QR1,QR2,QC1,QC2,SAF,GREEN DIESEL (G),NAPHTHA (N)
264.234856,1059.17613,127.065093,1037.34585,1823.00557,211.262936,351.637329
395.853054,971.520671,208.175506,919.247116,2361.24026,546.961235,501.483247
244.780939,935.363434,66.5274506,882.310241,2038.30252,827.215971,492.847346
106.142148,614.006162,22.1239493,586.745294,1235.08555,299.767113,183.691494
126.710812,471.424004,32.0000827,451.815588,1494.10518,212.171559,206.446677
138.875746,724.82784,35.9568544,710.480547,1838.04933,147.446101,220.435308
169.472978,199.011924,82.012809,191.406306,1228.74794,54.7877693,255.433706
804.510367,1048.18074,566.027548,1056.25242,2098.66218,112.719632,1237.96619
447.7788,459.878931,267.699282,444.490439,1666.80581,309.817371,738.860699
211.951413,687.805988,76.8980943,675.867592,1629.59435,142.564381,458.256874
245.243634,370.2571,98.5246655,365.959759,964.83263,228.426521,852.557162
110.852138,553.181593,17.7554901,520.832887,1647.07972,305.582356,159.57266
244.991554,415.674765,119.227696,405.200457,1207.91839,146.939749,552.405926
246.700239,433.909539,140.542021,427.733318,1076.61073,112.156909,448.488895
566.75067,617.633781,353.017864,609.529655,1964.41051,280.682734,826.45873
265.79492,357.69913,138.269244,357.398762,1008.39177,40.6403522,736.218648
160.408828,578.851724,72.8152417,552.835156,1332.16011,191.616417,168.566577
157.248426,840.238969,65.1240588,818.379071,1416.15312,236.201302,224.608464
616.187277,393.912215,443.925243,384.660501,1196.96421,356.052646,910.313454
447.002511,308.62763,235.46683,324.616201,1601.43978,96.1720627,968.166123
248.151074,1001.36657,85.8394756,986.295622,2285.00122,200.445212,453.504071
202.241434,876.702384,57.7510791,856.689341,1882.41535,125.906005,528.281834
609.251518,749.302657,401.975312,732.630288,1727.82939,605.638402,867.748068
254.094996,756.904407,101.997053,719.654975,1595.33959,591.913886,472.781921
473.138023,731.957983,304.859312,733.840843,1444.87744,137.467613,863.790303
343.067702,191.147883,196.08773,188.42005,1216.11147,102.683203,788.442156
704.995189,544.49074,485.356078,534.458909,2017.90325,256.108691,1039.31716
266.396173,840.049733,86.4195259,812.375875,2441.77,341.147918,531.385276
183.922537,695.870103,70.9841642,670.876906,1611.68393,416.594753,199.637323
727.302113,929.30736,484.419192,953.727483,1866.54104,76.9385441,1112.81064
199.864501,334.80948,74.0972761,304.387352,1636.15627,321.574342,325.822018
453.910918,454.997828,285.637793,449.837291,1550.54071,55.8173965,903.072874
604.496187,211.458913,400.417621,210.157165,1463.78233,395.125569,1073.80347
464.787433,500.385099,233.469699,489.115444,1958.76744,138.441469,1272.66217
170.619386,167.767706,75.6383089,158.484335,1307.55967,56.2187411,302.836948
519.460487,394.895402,377.592509,394.778115,793.840683,304.020712,887.148897
550.141265,486.374955,347.08785,482.960916,1820.64647,109.366151,1014.41813
221.070573,488.445615,56.6218153,458.095573,2413.74951,157.596979,463.419274
213.173386,1060.12958,49.1922242,1039.01277,2503.32417,86.0182523,472.438553
543.919547,454.534944,347.151078,449.795734,1322.09977,355.184374,934.279197
